image_name,grass_pct,trees_pct,flowers_pct,ground_pct,water_pct,sky_pct,building_pct,wall_pct,is_aerial,corrected_px_from_ground,corrected_px_from_building_wall,corrected_px_any_to_flower,corrected_px_building_wall_trees_ground_to_water,corrected_px_building_wall_to_trees,corrected_px_building_wall_to_ground,removed_small_buildings_px,removed_small_walls_px,border_wall_removed_px,overlay_path
1.png,62.29,16.41,0.0,21.28,0.02,0.0,14.96,0.0,True,45713,1052645,32,380,128087,288913,80040,0,0,D:\Abd9-2-2026\Pictures\outputs\1_overlay.png
10.png,31.2,45.32,4.15,14.01,0.01,0.0,0.0,1.64,True,104394,403649,10,123,26443,215285,32,20302,6777,D:\Abd9-2-2026\Pictures\outputs\10_overlay.png
11.png,55.38,10.85,2.15,23.7,0.0,0.0,0.0,1.02,True,15289,848829,24,46,45069,367838,0,32065,214,D:\Abd9-2-2026\Pictures\outputs\11_overlay.png
12.png,60.74,9.15,2.03,18.45,0.0,0.0,0.0,0.31,True,0,922690,33,20,18312,289258,1,23590,78,D:\Abd9-2-2026\Pictures\outputs\12_overlay.png
13.png,49.76,17.35,4.79,16.68,0.38,0.0,0.0,1.27,True,628,715113,34,5914,15391,259006,0,26217,2713,D:\Abd9-2-2026\Pictures\outputs\13_overlay.png
14.png,33.58,19.5,25.77,15.07,1.0,0.0,0.0,0.24,True,0,668114,259,15659,43911,236560,0,39368,0,D:\Abd9-2-2026\Pictures\outputs\14_overlay.png
15.png,58.42,27.55,0.01,10.45,0.0,0.0,5.65,0.47,True,2521,13207,100,0,4635,48376,4995,1769,2009,D:\Abd9-2-2026\Pictures\outputs\15_overlay.png
16.png,58.51,27.88,0.01,11.55,0.0,0.0,0.74,4.51,True,0,270728,166,11,43470,171440,184,13112,22102,D:\Abd9-2-2026\Pictures\outputs\16_overlay.png
17.png,31.01,57.67,0.01,10.78,0.0,0.04,3.92,3.4,True,0,53184,143,17,14026,152546,4465,6583,35250,D:\Abd9-2-2026\Pictures\outputs\17_overlay.png
18.png,48.23,41.84,0.11,9.3,0.0,0.0,3.51,4.99,True,68,86108,1580,0,31108,130471,3403,8464,42177,D:\Abd9-2-2026\Pictures\outputs\18_overlay.png
19.png,51.14,29.95,9.21,8.24,0.0,0.0,0.44,8.37,True,0,55288,5449,9,15619,117887,222,14223,46033,D:\Abd9-2-2026\Pictures\outputs\19_overlay.png
2.png,66.43,21.17,0.01,5.47,0.0,0.0,0.36,1.99,True,9,349312,205,0,9231,79666,4227,14076,75636,D:\Abd9-2-2026\Pictures\outputs\2_overlay.png
20.png,59.05,26.19,0.03,7.79,0.97,0.0,0.0,9.29,True,0,658226,182,13866,50710,111157,0,16424,53980,D:\Abd9-2-2026\Pictures\outputs\20_overlay.png
21.png,22.82,55.17,7.61,8.62,0.98,0.0,0.0,6.87,True,0,323553,16995,14398,109441,126262,0,15838,49085,D:\Abd9-2-2026\Pictures\outputs\21_overlay.png
22.png,67.93,8.59,0.0,23.44,0.03,0.0,6.39,0.0,True,35650,748852,33,378,72355,206909,51074,978,0,D:\Abd9-2-2026\Pictures\outputs\22_overlay.png
23.png,64.25,21.18,0.01,14.45,0.11,0.04,1.03,0.0,True,518346,26183,137,1644,9520,78895,2613,0,0,D:\Abd9-2-2026\Pictures\outputs\23_overlay.png
24.png,41.56,39.44,0.0,18.87,0.03,0.0,2.15,0.0,True,612620,26215,76,442,9822,102681,6935,0,0,D:\Abd9-2-2026\Pictures\outputs\24_overlay.png
25.png,56.98,22.57,1.35,16.57,0.29,0.02,0.22,0.05,True,495043,43923,709,4583,4505,109080,3744,4929,1571,D:\Abd9-2-2026\Pictures\outputs\25_overlay.png
26.png,54.82,15.05,12.84,12.95,0.56,0.0,0.0,0.41,True,216273,46815,1348,8751,4727,80155,354,9799,6638,D:\Abd9-2-2026\Pictures\outputs\26_overlay.png
27.png,64.8,16.11,0.39,15.82,0.67,0.0,0.95,1.18,True,682737,91159,91,10270,10822,110609,6491,1434,7149,D:\Abd9-2-2026\Pictures\outputs\27_overlay.png
28.png,26.6,23.24,31.13,11.99,0.39,0.0,0.0,3.04,True,287,70302,1643,6011,26529,174653,841,19582,16467,D:\Abd9-2-2026\Pictures\outputs\28_overlay.png
3.png,43.59,30.25,0.0,18.08,0.0,0.0,0.0,0.06,True,0,684941,18,0,34924,284105,0,34847,0,D:\Abd9-2-2026\Pictures\outputs\3_overlay.png
4.png,48.83,24.43,0.01,19.03,0.0,0.0,0.0,0.79,True,0,742653,197,0,17466,296952,17,57300,0,D:\Abd9-2-2026\Pictures\outputs\4_overlay.png
5.png,35.64,20.2,6.12,17.56,0.0,0.0,0.03,0.98,True,94,562765,7481,18,5611,272796,530,33296,0,D:\Abd9-2-2026\Pictures\outputs\5_overlay.png
6.png,64.07,10.3,1.42,17.56,0.29,0.0,0.12,0.43,True,0,1002520,173,4604,24688,273610,924,44035,0,D:\Abd9-2-2026\Pictures\outputs\6_overlay.png
7.png,33.02,38.86,7.0,13.34,0.36,0.0,0.0,2.05,True,146,534071,3305,5563,61483,205460,0,50761,4020,D:\Abd9-2-2026\Pictures\outputs\7_overlay.png
8.png,67.91,12.2,0.0,18.57,0.01,0.0,16.17,0.0,True,55,926199,4,87,60402,209893,56842,0,0,D:\Abd9-2-2026\Pictures\outputs\8_overlay.png
9.png,63.09,10.81,2.46,16.75,0.03,0.12,0.31,0.67,True,21197,855274,262,535,28596,165329,13509,5512,6169,D:\Abd9-2-2026\Pictures\outputs\9_overlay.png
